% Model:              half_space.mph
% Version:            COMSOL 5.2.0.166
% Date:               Oct 1 2016, 08:31
% Dimension:          1
% Nodes:              361
% Expressions:        1
% Description:        Far field
% theta                   r
2.4609142453120043        2.9212511949397417E-18
2.478367537831948         3.641199333672235E-18
2.4958208303518914        4.855165773576683E-18
2.5132741228718345        4.959879213581507E-18
2.5307274153917776        2.941725140456542E-18
2.548180707911721         6.039218838548049E-18
2.5656340004316647        5.485946417092538E-18
2.5830872929516078        1.337181147654178E-18
2.600540585471551         9.066030839581121E-18
2.6179938779914944        5.6240817346504485E-18
2.6354471705114375        5.588876759572087E-18
2.6529004630313806        9.563743839084246E-18
2.670353755551324         9.523317087729735E-18
2.6878070480712677        8.380673630769158E-18
2.705260340591211         1.3670495466222714E-17
2.722713633111154         1.0562980651446283E-17
2.740166925631097         1.2491943372353417E-17
2.7576202181510405        1.784842839907098E-17
2.775073510670984         1.1875499865828895E-17
2.792526803190927         2.1159386174940576E-17
2.8099800957108703        1.7037508483454908E-17
2.827433388230814         2.0388894224627447E-17
2.844886680750757         2.2455702274771185E-17
2.8623399732707           2.135982453651412E-17
2.8797932657906435        2.450236519217668E-17
2.897246558310587         2.5989062329683674E-17
2.9146998508305306        2.437082407044527E-17
2.9321531433504737        3.0246734731359367E-17
2.949606435870417         2.5254262606475533E-17
2.9670597283903604        3.191803527636499E-17
2.9845130209103035        2.8869259736060384E-17
3.0019663134302466        3.204306384863858E-17
3.01941960595019          3.427100573196661E-17
3.036872898470133         3.560449681657961E-17
3.0543261909900763        3.841446769147571E-17
3.07177948351002          2.7929440333691985E-17
3.0892327760299634        1.4637427126331303E-17
3.106686068549907         1.458943888534672E-17
3.12413936106985          1.3569328583650983E-17
3.141592653589793         3.466998498705996E-31
3.159045946109736         1.3569328583651568E-17
3.1764992386296798        1.458943888534666E-17
3.193952531149623         1.4637427126331248E-17
3.211405823669566         2.7929440333691664E-17
3.2288591161895095        3.841446769147471E-17
3.2463124087094526        3.560449681657982E-17
3.2637657012293966        3.4271005731966597E-17
3.2812189937493397        3.2043063848638393E-17
3.2986722862692828        2.886925973606007E-17
3.3161255787892263        3.191803527636498E-17
3.3335788713091694        2.525426260647566E-17
3.3510321638291125        3.0246734731359244E-17
3.368485456349056         2.4370824070445218E-17
3.385938748868999         2.598906232968372E-17
3.4033920413889422        2.4502365192176732E-17
3.420845333908886         2.1359824536514236E-17
3.438298626428829         2.245570227477126E-17
3.455751918948773         2.0388894224627176E-17
3.473205211468716         1.7037508483454892E-17
3.490658503988659         2.1159386174940268E-17
3.5081117965086026        1.1875499865828874E-17
3.5255650890285457        1.784842839907092E-17
3.543018381548489         1.24919433723538E-17
3.560471674068432         1.056298065144597E-17
3.5779249665883754        1.3670495466222919E-17
3.5953782591083185        8.380673630769337E-18
3.6128315516282616        9.523317087729845E-18
3.6302848441482056        9.563743839084237E-18
3.6477381366681487        5.588876759572375E-18
3.6651914291880923        5.624081734650365E-18
3.6826447217080354        9.06603083958099E-18
3.7000980142279785        1.3371811476541368E-18
3.717551306747922         5.4859464170924336E-18
3.735004599267865         6.039218838548357E-18
3.752457891787808         2.94172514045671E-18
3.7699111843077517        4.9598792135812955E-18
3.787364476827695         4.85516577357679E-18
3.804817769347638         3.6411993336726854E-18
3.822271061867582         2.9212511949393815E-18
3.839724354387525         5.564708208908834E-18
3.8571776469074686        4.095821108993194E-18
3.8746309394274117        1.265176568678147E-18
3.8920842319473548        5.123526306906689E-18
3.9095375244672983        5.182418174768108E-18
3.9269908169872414        4.028155844626512E-18
3.9444441095071845        2.1428835219922683E-18
3.9618974020271276        4.780366608177896E-18
3.979350694547071         7.182302579232481E-18
3.9968039870670142        3.4751536130683805E-18
4.014257279586958         1.353062124619945E-19
4.031710572106902         5.530328642610026E-18
4.049163864626845         6.9052957925984765E-18
4.066617157146788         7.012062896000525E-18
4.084070449666731         3.522675306037345E-18
4.101523742186674         1.0720166228324777E-18
4.118977034706617         4.6984491494664675E-18
4.136430327226561         8.227866044150408E-18
4.153883619746504         7.114212165446196E-18
4.171336912266447         7.029180358322178E-18
4.1887902047863905        3.51007743654253E-18
4.2062434973063345        9.844616894241717E-19
4.223696789826278         2.3359198349956777E-18
4.241150082346221         6.3162774361443146E-18
